"","p"
"206",0.00155555555555556
"207",0.0251623089328972
"208",0.00364444444444444
"209",0
"210",0.00204444444444444
"211",0.000666666666666667
"212",0.0355154761904762
"213",0.00386363636363636
"214",0
"215",0.00346668886668887
"216",0.0252317633347045
"217",0.0038
"218",0.0214695165945166
"219",0.036890287327052
"220",0.00217409387997623
"221",0.000666666666666667
"222",0
"223",0.0169429697753227
"224",0.171726314208667
"225",0
"226",0.00172150072150072
"227",0.00344116161616162
"228",0.00606637251637252
"229",0.000222222222222222
"230",0
"231",0.00328468720821662
"232",0.0678391993627287
"233",0.00616544844044844
"234",0.000977777777777778
"235",0.00506807440925088
"236",0.472526466215243
"237",0
"238",0.0105924008997538
"239",0
"240",0.00817773419391066
"241",0
"242",0
"243",0
"244",0
"245",0.000181818181818182
"246",0.0982100179232532
"247",0
"248",0.000848484848484849
"249",0.00372626262626263
"250",0.000181818181818182
"251",0.127191983180219
"252",0.000422222222222222
"253",0.013705728095434
"254",0.00449273194126135
"255",0.00111111111111111
"256",0.00517070707070707
"257",0.00537449494949495
"258",0.0145935825612296
"259",0.000361111111111111
"260",0.0194677211677212
"261",0.0051603004838299
"262",0.000611111111111111
"263",0.000976068376068376
"264",0.00544491521550345
"265",0.00193737373737374
"266",0.0016406629318394
"267",0.000444444444444444
"268",0.031049980738216
"269",0.00110793650793651
"270",0.000222222222222222
"271",0.00111111111111111
"272",0.0059936507936508
"273",0.00193333333333333
"274",0.00133333333333333
"275",0.00119292929292929
"276",0.000577777777777778
"277",0.00213333333333333
"278",0.00776507936507937
"279",0.0264387633608222
"280",0
"281",0.00523812380430027
"282",0.0078329108799697
"283",0.0132144522144522
"284",0.0047018759018759
"285",0.0194110536522301
"286",0
"287",0.00187320261437908
"288",0.00133333333333333
"289",0.00860528801264096
"290",0.0290561632811633
"291",0.0113843581255346
"292",0.018821239218298
"293",0.00991908369408369
"294",0.0023047619047619
"295",0.0170356143856144
"296",0
"297",0.000342857142857143
"298",0
"299",0.000840937657114128
"300",0.000222222222222222
"301",0.00399184149184149
"302",0.0023965811965812
"303",0.00226816239316239
"304",0.000533333333333333
"305",0.000844444444444444
"306",0.00327777777777778
"307",5e-04
"308",0.00228282828282828
"309",0.000707692307692308
"310",0.0201703597056538
"311",0.00344267676767677
"312",0.00196507936507936
"313",0.000381818181818182
"314",0.0462055113187466
"315",0.00122875816993464
"316",0
"317",0.000125
"318",0.00709169523287171
"319",0
"320",0
"321",0.000444444444444444
"322",0.0183383838383838
"323",0
"324",0
"325",0
"326",0.00138989898989899
"327",0.00832871572871573
"328",0.000222222222222222
"329",0.995316514041514
"330",0.00195959595959596
"331",0
"332",0.00192222222222222
"333",0.0212050057785352
"334",0
"335",0.026031064686947
"336",0.0416076377870495
"337",0.0134901683284036
"338",0.106305464959877
"339",0.00750614630467572
"340",0.00248856421356421
"341",0.012185179526356
"342",0.0210544524103348
"343",0.061955094252153
"344",0
"345",0.00153333333333333
"346",0.000464957264957265
"347",0.00490196078431373
"348",0
"349",0.018127985576515
"350",0.000888888888888889
"351",0.0046972582972583
"352",0.01101437467761
"353",0.00588513708513709
"354",0.00166559714795009
"355",0.00658848341201282
"356",0
"357",0
"358",0.000562091503267974
"359",0
"360",0
"361",0.00471464646464646
"362",0
"363",0.00538039427892369
"364",0.00160808080808081
"365",0.00278089492207139
"366",0
"367",0
"368",0
"369",0.0153399295149295
"370",0
"371",0
"372",0.000222222222222222
"373",0.0441734910514322
"374",0
"375",0.000444444444444444
"376",0
"377",0.0348307142204201
"378",0.0345471800645175
"379",0.581339691844104
"380",0.0153996155804979
"381",0.000222222222222222
"382",0
"383",0.00271085858585859
"384",0.148351612113377
"385",0
"386",0.000444444444444444
"387",0.0472902112593289
"388",0.00583387723387723
"389",0.00431515151515152
"390",0.000222222222222222
"391",0.00172150072150072
"392",0
"393",0
"394",0.00904186924186924
"395",0.00548170244787892
"396",0.000222222222222222
"397",0
"398",0.000222222222222222
"399",0.00128888888888889
"400",0.0136346921052803
"401",0
"402",0
"403",0.000222222222222222
"404",0.0143918220668221
"405",0
"406",0.000666666666666667
"407",0.00512045454545455
"408",0.126970370805665
"409",0
"410",0.000222222222222222
"411",0.000937373737373737
"412",0.0114289405039405
"413",0
"414",0.00151111111111111
"415",0.00338450438450438
"416",0
"417",0
"418",0.0206438234967647
"419",0
"420",0.0705986320868673
"421",0.000422222222222222
"422",0.00201212121212121
"423",0.00141880341880342
"424",0.00343217893217893
"425",0.000222222222222222
"426",0.00290808080808081
"427",0.0172849604643722
"428",0.000998290598290598
"429",0.00239854198089492
"430",0
"431",0.000444444444444444
"432",0.0326239298283416
"433",0
"434",0.00357606837606838
"435",0.00155555555555556
"436",0.0334795812031106
"437",0.00396493783993784
"438",0.762657417419182
"439",0
"440",0.00317777777777778
"441",0.242846958871882
"442",0.000644444444444444
"443",0.212268134153428
"444",2e-04
"445",0.0143349234099234
"446",0.000952380952380952
"447",0
"448",0
"449",0
"450",0.000363636363636364
"451",0.000153846153846154
"452",0.0177447735271265
"453",0.00111111111111111
"454",0
"455",0.00987676767676768
"456",0
"457",0
"458",0.00270277777777778
"459",0.00166060606060606
"460",0
"461",0.00195959595959596
"462",0.0230875483993131
"463",0.000666666666666667
"464",0.000444444444444444
"465",0
"466",0.00135642135642136
"467",2e-04
"468",0.00168888888888889
"469",0.00826751940869588
"470",0.0399302059052059
"471",0.00179292929292929
"472",0.00140849673202614
"473",0.00287868814192344
"474",0
"475",0.0103427213309566
"476",0
"477",0.00807171500669953
"478",0.00147777777777778
"479",0.0148591446135564
"480",0.00409292929292929
"481",0.00170649350649351
"482",0.0113697149255973
"483",0.00191111111111111
"484",2e-04
"485",0
"486",0.00228888888888889
"487",0.0393112410465351
"488",4e-04
"489",0.0301742992301815
"490",0
"491",0.0230056600262483
"492",0.00173956762192056
"493",0.00111111111111111
"494",0.0233209550253668
"495",0
"496",0.0105320734820735
"497",0
"498",0.00295415695415695
"499",0.0331752742355683
"500",0.00522510822510822
"501",0.00121944444444444
"502",0
"503",0
"504",0.0108063088871912
"505",0.000666666666666667
"506",0
"507",0.000844444444444444
"508",0
"509",0.00992450098920687
"510",0.0031921568627451
"511",0.00146666666666667
"512",0.0987244905421376
"513",0.000444444444444444
"514",0.00098989898989899
"515",0.000598290598290598
"516",0.00167320261437908
"517",0.00326862745098039
"518",0.00411344211344211
"519",0.00376209150326797
"520",0.00938686868686869
"521",0.0296535392711863
"522",0
"523",0
"524",0.0126458907105966
"525",0.000916666666666667
"526",0.107159974176151
"527",0.0682013086586616
"528",0.724201222796811
"529",0
"530",0
"531",0.000808080808080808
"532",0
"533",0
"534",0
"535",0.0298476683447272
"536",0.0108379382055853
"537",0.00210025138260432
"538",0.000866666666666667
"539",0.0023010101010101
"540",0
"541",0
"542",0
"543",0.00128627450980392
"544",0.0597227231918408
"545",0.0012
"546",0
"547",0.299623884122414
"548",0
"549",0.000222222222222222
"550",0.000355555555555556
"551",0
"552",0.00545378787878788
"553",0.00823366013071896
"554",0
"555",0.0397367436485083
"556",0.00265782828282828
"557",0
"558",0.00597777777777778
"559",0
"560",0.0217039943716414
"561",0.0124526192761487
"562",5e-04
"563",0.000622222222222222
"564",0.000142857142857143
"565",0.00171515151515152
"566",0.000724747474747475
"567",2e-04
"568",0.00326666666666667
"569",0.00578247863247863
"570",0
"571",0.000325
"572",0.00439292929292929
"573",0
"574",0
"575",0.0128063988299282
"576",0.000404040404040404
"577",0.000125
"578",0
"579",0.034994725535902
"580",0
"581",0
"582",0
"583",0.00642264271676036
"584",0
"585",0
"586",0
"587",0.0160788322358756
"588",0.00702008318478907
"589",0.0007883541295306
"590",0.00293737373737374
"591",0.148147556201968
"592",0
"593",0.00126666666666667
"594",0.000622222222222222
"595",0
"596",0.0568794468603292
"597",0.00133333333333333
"598",0
"599",0.00389093651446593
"600",0.00291111111111111
"601",0.000222222222222222
"602",0
"603",0
"604",0.000222222222222222
"605",0.115496783316443
"606",0.0441184692758222
"607",0.0176522177169236
"608",0.00562948603683898
"609",0.000985858585858586
"610",0.000777777777777778
"611",0.000222222222222222
"612",0.00183030303030303
"613",0.141069906899087
"614",0
"615",0.0210339875810464
"616",0.0193115539689069
"617",0
"618",0.0107237373737374
"619",0
"620",6e-04
"621",0.000661538461538462
"622",0.0511741870874223
"623",0.00190396825396825
"624",0.000222222222222222
"625",0.000626262626262626
"626",0.0033982905982906
"627",0.00817753210841446
"628",0.000404040404040404
"629",0.000848484848484849
"630",0
"631",0.00165656565656566
"632",0
"633",0
"634",0.000222222222222222
"635",0.00108888888888889
"636",0.00575531135531135
"637",0
"638",0.00138324420677362
"639",0.003601443001443
"640",6e-04
"641",0
"642",0.00833754741990036
"643",0
"644",8e-04
"645",0.0182633972236913
"646",0.00432606837606838
"647",0
"648",0.00282222222222222
"649",0
"650",0.00104444444444444
"651",0.00768095956331251
"652",0.000444444444444444
"653",0.0165430618401207
"654",0.0239133400912813
"655",0.878137806801042
"656",0.00219787793905441
"657",0.00228838383838384
"658",0
"659",0.0105217893217893
"660",0.000444444444444444
"661",0
"662",0
"663",0
"664",0
"665",0.0073556786350904
"666",0.000993939393939394
"667",0
"668",0
"669",0.0202831759743524
"670",0.000666666666666667
"671",0.00124848484848485
"672",0.58687874935522
"673",0.00517593795093795
"674",0.0539776710217886
"675",0.00356634199134199
"676",0
"677",0.00166495726495726
"678",0
"679",0.0187580050668286
"680",0.00177777777777778
"681",0.00617824740618858
"682",0.109097139788316
"683",0
"684",0.0150740775564305
"685",0.000181818181818182
"686",0
"687",0.00207712418300654
"688",0.00248888888888889
"689",0
"690",0
"691",4e-04
"692",0.00591494779730074
"693",0.197171507740626
"694",0.00402704876822524
"695",0.000363636363636364
"696",0.00381711229946524
"697",0.0180694083694084
"698",0.0111709878356937
"699",0.000571428571428571
"700",0.000125
"701",0.000887179487179487
"702",0
"703",0
"704",0
"705",0.0162262023923789
"706",0.0218827463386287
"707",0
"708",0.00601212121212121
"709",0.00761774140891788
"710",0
"711",0.000752136752136752
"712",0.0030969696969697
"713",0.00843199300699301
"714",0.700524759880643
"715",0.00442467532467532
"716",0
"717",0.000888888888888889
"718",0.000707692307692308
"719",0
"720",0
"721",0
"722",0.0405541664218135
"723",0
"724",0
"725",0
"726",0.00634002190619838
"727",0
"728",0.00437991452991453
"729",0.000444444444444444
"730",0.000222222222222222
"731",0.00662673796791444
"732",0.00745224301841949
"733",0.00401577311577312
"734",0.00845906120023767
"735",0.00126666666666667
"736",0.00186880341880342
"737",0.00147777777777778
"738",0.000117647058823529
"739",0
"740",0.455657406319171
"741",0.00276594516594517
"742",0.0541470020175902
"743",0.00217777777777778
"744",0.000222222222222222
"745",0.00386638720756368
"746",0
"747",0.000444444444444444
"748",0.00102222222222222
"749",0.00567537984890926
"750",0.00262222222222222
"751",0.0115451786775316
"752",0.00965967643467643
"753",0.000222222222222222
"754",4e-04
"755",0.00452394272394272
"756",0
"757",0.000181818181818182
"758",0.00104386724386724
"759",0.000222222222222222
"760",0.00760812520812521
"761",0
"762",0.00851507556770715
"763",0.033951018262783
"764",0.00376470473970474
"765",0.0102863006274771
"766",0.00177777777777778
"767",2e-04
"768",0.0630436186362656
"769",0
"770",0.000166666666666667
"771",0.00161616161616162
"772",0.00120808080808081
"773",0.000222222222222222
"774",0.000996581196581196
"775",0.00222137862137862
"776",0
"777",0.0107183277506807
"778",0.00442222222222222
"779",0.000307692307692308
"780",0.00778905538905539
"781",0.0722123771653183
"782",0.0805561609529102
"783",0.0596931517828576
"784",2e-04
"785",0.000888888888888889
"786",0
"787",0.341704527825116
"788",0.0113265362088891
"789",0.000222222222222222
"790",0.00280696329813977
"791",0.000333333333333333
"792",0.00410570818070818
"793",0
"794",0.000444444444444444
"795",0
"796",0.0391129382055853
"797",0.000222222222222222
"798",0
"799",0.0908170920582685
"800",0.0243839561968819
"801",0.0129515224971107
"802",0.00111111111111111
"803",0
"804",0.0329167014358191
"805",0.0146493483640542
"806",0.030038576292988
"807",0.00131601731601732
"808",0.000333333333333333
"809",0.160260200746966
"810",0
"811",0
"812",0.000666666666666667
"813",0.0143274069068187
"814",0
"815",0.000222222222222222
"816",0.000626262626262626
"817",0.000222222222222222
"818",0.0188658762805822
"819",0.00494141414141414
"820",0.000666666666666667
"821",0
"822",0.767996760755585
"823",0.00106666666666667
"824",0.00143434343434343
"825",0.000666666666666667
"826",0.000222222222222222
"827",0.0549734928470222
"828",0
"829",0.00702240896358544
"830",0.0815578555431497
"831",0.00413879976232917
"832",0
"833",0.0057949938949939
"834",0.00974747801218389
"835",0.00118989898989899
"836",0
"837",0.952984712672948
"838",0.00568708133971292
"839",0.00435555555555556
"840",0.000222222222222222
"841",0.125743549046413
"842",0.00191111111111111
"843",0.00445799168152109
"844",0
"845",0.00280690943043884
"846",0
"847",0.00221264095381742
"848",0.000222222222222222
"849",0
"850",0.000666666666666667
"851",0
"852",0.002385179526356
"853",2e-04
"854",0.0217407569554628
"855",0
"856",0
"857",0.0018984126984127
"858",0.00120808080808081
"859",0
"860",0.00183410005027652
"861",0.000444444444444444
"862",0.00325425685425685
"863",0.00282424242424242
"864",0.0110863997113997
"865",0
"866",0.00552324064824065
"867",0.00234640522875817
"868",0.00499225741578683
"869",0
"870",0.47917173636477
"871",0.00195497835497835
"872",0
"873",0
"874",0
"875",0.00241111111111111
"876",0.000967676767676768
"877",0
"878",0.926796623311329
"879",0
"880",0.00386217948717949
"881",0
"882",0.00107070707070707
"883",0.032992145762734
"884",0
"885",0
"886",0.0114288961038961
"887",0
"888",0.295895257554623
"889",0
"890",0.00721202408702409
"891",0.10281132135838
"892",0.00230407480376521
"893",0
"894",0
"895",0.00173174603174603
"896",0.00903217893217893
"897",0
"898",0.0278283884416237
"899",0.0536297450915097
"900",0.000222222222222222
"901",0.440287589070716
"902",0.00261773504273504
"903",0.0108739515386574
"904",0
"905",0.00517561327561328
"906",0
"907",0
"908",0
"909",0.000181818181818182
"910",0
"911",0
"912",0
"913",7e-04
"914",0.000222222222222222
"915",0.000888888888888889
"916",0.014817272106978
"917",0.0143217251702546
"918",0.0287392298877593
"919",0
"920",0
"921",0
"922",0.000888888888888889
"923",0.000222222222222222
"924",0
"925",0.00242222222222222
"926",0.0407062636709695
"927",0.0116545454545455
"928",0.00659288766788767
"929",0
"930",0.000222222222222222
"931",0.000888888888888889
"932",0.0116682667006196
"933",0.00314529914529915
"934",0
"935",0.0060929292929293
"936",0
"937",0.00226587301587302
"938",0.0158153482138776
"939",0.00566060606060606
"940",0.000222222222222222
"941",0.0031982905982906
"942",0.00265502079619727
"943",0.00412323232323232
"944",0.00930523088023088
"945",0.00108888888888889
"946",0.00828607503607504
"947",0.175356995781996
"948",0.000804040404040404
"949",0.0184587881073175
"950",0.00361290735408382
"951",0.0551534929123164
"952",0
"953",0.000644444444444444
"954",0.0106820695644225
"955",0.000888888888888889
"956",0.000969444444444444
"957",0.0370576508458861
"958",0.00144183006535948
"959",0.00574409642644937
"960",0.0664521445874387
"961",0
"962",0
"963",0.000222222222222222
"964",0.0161848461995521
"965",0
"966",0
"967",0.00521882055852644
"968",0.000542857142857143
"969",0.000702777777777778
"970",0.576963680273974
"971",8e-04
"972",0.00151746031746032
"973",0.00163578643578644
"974",0.00497055167055167
"975",0.00293482726423903
"976",0
"977",0.00473030303030303
"978",0
"979",0
"980",0.000888888888888889
"981",0
"982",0.00223333333333333
"983",0.000317647058823529
"984",0.000444444444444444
"985",0.0012
"986",0.00116363636363636
"987",0.00254689754689755
"988",4e-04
"989",0
"990",0.0139905734788088
"991",0
"992",0.0122772727272727
"993",0.00702284382284383
"994",0.00667474747474747
"995",0.00598490365843307
"996",0.000976190476190476
"997",0.00927474747474748
"998",0.000666666666666667
"999",0.00309328579916815
"1000",0
"1001",0
"1002",0.0167465160656337
"1003",0.0167868326118326
"1004",0.00280653594771242
"1005",0.0121884878193702
"1006",0.000444444444444444
"1007",0.00902494139847081
"1008",0.00476402568020215
"1009",0.0174029697426756
"1010",0.0024
"1011",0.00248730158730159
"1012",0.00566134976134976
"1013",0.000991341991341991
"1014",0
"1015",0.0866350611806495
"1016",0.00187070707070707
"1017",0
"1018",0.126843746449629
"1019",0.00334545454545455
"1020",0.00393725490196078
"1021",0.00174285714285714
"1022",0.00722193362193362
"1023",0
"1024",0.000222222222222222
"1025",0.00684126984126984
"1026",0.10448779717015
"1027",0.00162063492063492
"1028",0.00385252525252525
"1029",0.00217777777777778
"1030",2e-04
"1031",0
"1032",0.000444444444444444
"1033",0.0142492791522203
"1034",0.0221497737556561
"1035",0.00839655671126259
"1036",0.0311736160897926
"1037",0.0011965811965812
"1038",0.0160977927301457
"1039",0.0040300505050505
"1040",0
"1041",0
"1042",0.0663844188491247
"1043",0.000222222222222222
"1044",0.000666666666666667
"1045",0.000222222222222222
"1046",0.00354220028337675
"1047",0.000444444444444444
"1048",0.189391813252108
"1049",0
"1050",0
"1051",0.000339869281045752
"1052",0.0302953422394599
"1053",0.00404438502673797
"1054",0
"1055",0.0435650018282371
"1056",0.00286190476190476
"1057",0.00259166666666667
"1058",0
"1059",0.00320505050505051
"1060",0.00242804680400588
"1061",0
"1062",0
"1063",0.00968125257095845
"1064",0
"1065",0
"1066",0
"1067",0.000444444444444444
"1068",0.000444444444444444
"1069",0.00860375816993464
"1070",0.00435275443510738
"1071",0.00280808080808081
"1072",0.000844444444444444
"1073",0.000955555555555556
"1074",0.000472222222222222
"1075",0.00399902597402597
"1076",0.000266666666666667
"1077",0.00470625257095845
"1078",0.000222222222222222
"1079",0
"1080",0
"1081",0
"1082",0.000222222222222222
"1083",0
"1084",0.000666666666666667
"1085",0.000444444444444444
"1086",0.000222222222222222
"1087",0.00308686868686869
"1088",0.686813550501786
"1089",0
"1090",0.000222222222222222
"1091",0
"1092",0
"1093",0.0949130940954471
"1094",0.487292664310234
"1095",0.00158818958818959
"1096",0.00263030303030303
"1097",0.00941509209744504
"1098",0.0316186777275013
"1099",0
"1100",0.00138181818181818
"1101",4e-04
"1102",0
"1103",0.00987089203067464
"1104",0.0188910197645492
"1105",0.00117777777777778
"1106",0
"1107",0
"1108",0.00615288045288045
"1109",0.000222222222222222
"1110",0
"1111",0.00103030303030303
"1112",0.00816153846153846
"1113",0.00491717171717172
"1114",0.0051694124502948
"1115",0
"1116",0
"1117",0.000622222222222222
"1118",0
"1119",0
"1120",0.00118411000763942
"1121",0
"1122",0
"1123",0
"1124",0.00213333333333333
"1125",0
"1126",0.000844444444444444
"1127",2e-04
"1128",0.00194640522875817
"1129",0.000644444444444444
"1130",0.000133333333333333
"1131",0.00926783543254131
"1132",0.00521445221445222
"1133",0.0315009408891762
"1134",0.000848484848484849
"1135",0
"1136",0
"1137",0.00545973242443831
"1138",0.00117460317460317
"1139",0.00823058183646419
"1140",0.0101299316696376
"1141",0
"1142",0
"1143",0.0050678706914001
"1144",2e-04
"1145",0.0340305779188132
"1146",0.00118559218559219
"1147",0
"1148",0.000666666666666667
"1149",0.00122051282051282
"1150",0.0206092019092019
"1151",0.00378571428571429
"1152",0
"1153",0.00615027994880936
"1154",0.000142857142857143
"1155",0
"1156",0
"1157",0.000222222222222222
"1158",0.00266613190730838
"1159",0.00124444444444444
"1160",0
"1161",0.0041979797979798
"1162",0
"1163",0.0266935020861491
"1164",0.020480863744099
"1165",0
"1166",0.000181818181818182
"1167",0.160289942573766
"1168",0.0597645230586406
"1169",0
"1170",0.01525856055709
"1171",0
"1172",0.00448818958818959
"1173",0.00273419913419913
"1174",0.0148029589691354
"1175",0.0259040792540793
"1176",0.00512022111875053
"1177",0.000444444444444444
"1178",0.113323001998002
"1179",0
"1180",0
"1181",0.000222222222222222
"1182",0.00108888888888889
"1183",0.00153683897801545
"1184",0
"1185",0
"1186",0.00936803098861922
"1187",0.0015962481962482
"1188",0
"1189",0.0162679511664806
"1190",0
"1191",0.000499465240641711
"1192",0.000117647058823529
"1193",0.00688233988233988
"1194",0
"1195",6e-04
"1196",0.00204761904761905
"1197",0
"1198",0.0127130813630814
"1199",0
"1200",0
"1201",0
"1202",0.00127777777777778
"1203",0.0422959555150731
"1204",0.00218989898989899
"1205",0.00996252081252081
"1206",0
"1207",0.00761004159239453
"1208",0.00194292929292929
"1209",0.00476602564102564
"1210",0
"1211",0
"1212",0.00605831390831391
"1213",0.00222164502164502
"1214",0.00262318318935966
"1215",0.0226863339275104
"1216",0.000472222222222222
"1217",0.000166666666666667
"1218",0.00128888888888889
"1219",0
"1220",0.000700655716832187
"1221",0.0229690871220283
"1222",0.00157619047619048
"1223",0
"1224",0.000222222222222222
"1225",0.00257777777777778
"1226",0.000222222222222222
"1227",0.00765252525252525
"1228",0
"1229",0
"1230",0.000666666666666667
"1231",0.000388888888888889
"1232",0
"1233",2e-04
"1234",0.000222222222222222
"1235",0
"1236",0
"1237",0
"1238",0.000222222222222222
"1239",0.00131113331113331
"1240",0.000822222222222222
"1241",0
"1242",0.0104699047684342
"1243",0.000388888888888889
"1244",0
"1245",0.000222222222222222
"1246",0.000376068376068376
"1247",0.00910079642579643
"1248",0.000181818181818182
"1249",0.0720872186636892
"1250",0
"1251",0.000222222222222222
"1252",0.00650371099488747
"1253",0
"1254",0.0307680876313229
"1255",0
"1256",0.00168434343434343
"1257",0
"1258",0.0033
"1259",0.00781412443765385
"1260",0.00392418300653595
"1261",0.0126755280667045
"1262",0.0137122163783928
"1263",0
"1264",0
"1265",2e-04
"1266",0.00859741532976827
"1267",0
"1268",0
"1269",0.0265345531919061
"1270",0.000626262626262626
"1271",0.000222222222222222
"1272",0.00403762511997806
"1273",2e-04
"1274",0.0105504675063499
"1275",0.000222222222222222
"1276",0
"1277",0.0449154680287033
"1278",0.000153846153846154
"1279",0.000666666666666667
"1280",0.0799487519016931
"1281",0
"1282",0
"1283",0
"1284",0.000444444444444444
"1285",0.000444444444444444
"1286",0.0348819321201674
"1287",0.000916666666666667
"1288",0.000644444444444444
"1289",0
"1290",0.000444444444444444
"1291",0
"1292",0.0036
"1293",0.0143442501942502
"1294",0.000444444444444444
"1295",0.00951103341103341
"1296",0.0581926189823248
"1297",0.0163989898989899
"1298",0.00133333333333333
"1299",0
"1300",0.000839285714285714
"1301",0.000848484848484848
"1302",0.00704848484848485
"1303",0.00329579831932773
"1304",0
"1305",0.000822222222222222
"1306",0
"1307",0.176314708983827
"1308",0
"1309",0
"1310",0.000222222222222222
"1311",0.000333333333333333
"1312",0.000222222222222222
"1313",0.0225176191455603
"1314",0.0245423759247288
"1315",0.000444444444444444
"1316",0
"1317",4e-04
"1318",4e-04
"1319",0.0337507597150012
"1320",4e-04
"1321",0.0185017649017649
"1322",0.011469199101552
"1323",0.000866666666666667
"1324",0.00783865546218488
"1325",0
"1326",0.00156582633053221
"1327",0.0140348375480728
"1328",0
"1329",0.0319393991629285
"1330",0.0188894265864854
"1331",0.000222222222222222
"1332",0.00698877641965877
"1333",0
"1334",0.00108888888888889
"1335",0.00203174603174603
"1336",0
"1337",0
"1338",0
"1339",0.00656320150437798
"1340",0.0385881264160676
"1341",0
"1342",0
"1343",0
"1344",0.000444444444444444
"1345",0.00627092988710636
"1346",0.000133333333333333
"1347",0.581597008057302
"1348",0
"1349",0.00133333333333333
"1350",0
"1351",0.000222222222222222
"1352",0
"1353",0.000117647058823529
"1354",0.00168888888888889
"1355",0.00043956043956044
"1356",0
"1357",0.00124444444444444
"1358",0.0970449086860852
"1359",0.0604343360887478
"1360",0.0848437655481773
"1361",0.000888888888888889
"1362",0.00867744755244755
"1363",0.0103297734944794
"1364",0
"1365",0.00301960784313725
"1366",0
"1367",0.0042215811965812
