"","yhat"
"176",193.003749767987
"177",128.48526275579
"178",124.57680004419
"179",206.301929291923
"180",113.830002951846
"181",177.629724863205
"182",272.98093567625
"183",104.475009570572
"184",189.200568466442
"185",180.90319981169
"186",192.127756988159
"187",155.044039337199
"188",118.627784448553
"189",137.872647626147
"190",196.053828228765
"191",148.964944499107
"192",201.682842323288
"193",232.387714545403
"194",97.1648165445494
"195",253.864699913332
"196",180.114466346957
"197",142.796110400805
"198",353.574471517796
"199",208.616951991574
"200",121.982328636192
"201",389.875469780584
"202",135.917637339373
"203",198.927948742594
"204",159.996129504026
"205",187.728142610448
"206",115.074904624683
"207",381.678355048221
"208",242.162918041017
"209",159.532244297419
"210",220.399244361087
"211",223.943814308716
"212",209.205801726183
"213",248.185605303581
"214",197.99700857936
"215",211.438769524138
"216",189.378445967996
"217",253.173546271934
"218",239.954642954289
"219",165.762905115557
"220",137.66223058488
"221",130.773675351485
"222",234.170927832038
"223",279.24804983885
"224",197.787583323032
"225",161.235421472208
"226",99.0928604858135
"227",167.353325288527
"228",142.079345972265
"229",219.170570602709
"230",164.015904460108
"231",210.270363693704
"232",138.870700489858
"233",38.3852293609864
"234",169.289876051456
"235",161.044050061942
"236",85.6148655393103
"237",131.46258446514
"238",252.339387346438
"239",306.234530668159
"240",71.4368849079928
"241",145.416896814004
"242",348.961639478951
"243",223.817400463199
"244",190.659397631691
"245",100.846230587457
"246",270.95147171194
"247",179.610264147488
"248",211.749726406646
"249",137.901700641104
"250",207.097681735205
"251",126.790084432224
"252",325.015134053262
"253",143.199175430158
"254",254.583687429234
"255",86.3971897217989
"256",175.794227738472
"257",73.4636413071658
"258",148.830273935028
"259",297.172983985419
"260",136.624175341359
"261",90.8189968911791
"262",162.966304997463
"263",108.590218017712
"264",84.5871391705733
"265",159.927175088132
"266",61.0994686304675
"267",33.6594038193526
"268",180.47319687191
"269",190.188761220228
"270",175.908942918466
"271",137.509010836167
"272",146.166122374819
"273",129.659610093538
"274",339.417591738408
"275",225.273468705339
"276",71.8020163336609
"277",111.266123530814
"278",198.158936165276
"279",152.995257128627
"280",147.600256886677
"281",154.407484430723
"282",146.485543372866
"283",237.088699611119
"284",187.396703506103
"285",104.379554915626
"286",363.292577403236
"287",218.005805448783
"288",188.977884215589
"289",188.23482691025
"290",257.921586917085
"291",246.520240035878
"292",672.578955426099
"293",203.783969116634
"294",122.053906349878
"295",221.053586551285
"296",96.7094471521052
"297",247.076283646216
"298",172.5142214641
"299",0.358048968625369
"300",392.219514025244
